user,friend
0,1
0,28
0,30
0,33
0,241
0,278
0,283
0,315
0,425
1,0
1,194
1,226
1,258
1,397
1,482
3,79
3,159
3,281
9,363
9,476
10,37
10,363
10,428
10,476
10,490
12,15
12,50
12,244
12,433
12,434
12,469
13,44
13,62
13,125
13,134
13,167
13,206
13,238
13,254
13,357
13,363
13,366
13,374
13,410
13,441
14,359
15,12
15,16
15,95
15,125
15,135
15,150
15,152
15,154
15,226
15,241
15,283
15,313
15,345
15,347
15,348
15,422
15,431
15,466
15,469
16,15
16,96
16,106
16,167
16,199
16,233
16,237
16,291
16,307
16,315
16,326
16,363
16,406
16,463
17,91
17,163
17,289
18,30
18,278
19,218
19,363
21,349
23,328
25,442
27,193
27,397
27,442
28,0
28,32
28,38
28,56
28,64
28,95
28,100
28,105
28,146
28,152
28,196
28,199
28,241
28,247
28,313
28,314
28,315
28,344
28,347
28,365
28,374
28,384
28,412
28,415
29,134
29,166
29,196
29,283
29,380
29,407
29,433
29,482
30,0
30,18
30,33
30,62
30,64
30,100
30,195
30,251
30,254
30,316
30,344
30,369
30,373
32,28
32,50
32,90
32,94
32,166
32,313
32,469
33,0
33,30
33,35
33,38
33,56
33,162
33,206
33,344
33,412
33,482
34,56
34,135
35,33
35,56
35,100
35,120
35,166
35,169
35,209
35,273
35,285
35,286
35,306
35,328
35,344
35,348
36,105
36,246
37,10
37,119
37,256
37,307
37,476
37,490
38,28
38,33
38,80
38,134
38,135
38,145
38,156
38,167
38,209
38,257
38,282
38,283
38,286
38,344
38,374
38,384
38,388
38,438
38,466
40,289
41,197
41,307
41,397
41,440
42,261
43,137
44,13
46,47
46,79
46,105
46,120
46,226
46,267
46,270
46,281
46,307
46,330
46,350
46,352
46,390
46,420
46,465
46,467
47,46
47,96
47,302
47,470
48,120
48,135
48,158
48,159
48,167
48,209
48,210
48,226
48,254
48,308
48,348
48,369
48,390
48,422
48,430
48,472
49,170
50,12
50,32
50,94
50,100
50,122
50,152
50,226
50,283
50,291
50,433
51,322
51,326
51,440
51,449
52,173
53,295
53,363
55,67
55,164
55,199
55,239
55,289
55,454
56,28
56,33
56,34
56,35
56,62
56,105
56,111
56,135
56,152
56,166
56,196
56,199
56,209
56,210
56,238
