user,item,time
0,155,1291158000
0,185,1293836400
1,45,1298934000
1,59,1298934000
1,95,1298934000
1,144,1298934000
1,145,1298934000
1,148,1298934000
1,155,1298934000
1,157,1298934000
1,170,1298934000
1,171,1298934000
1,180,1298934000
1,185,1298934000
1,206,1298934000
1,248,1298934000
1,253,1298934000
1,256,1298934000
1,258,1298934000
1,263,1298934000
1,269,1298934000
1,283,1298934000
1,285,1298934000
1,307,1298934000
1,309,1298934000
1,312,1298934000
1,315,1298934000
1,321,1298934000
1,373,1298934000
1,379,1298934000
1,380,1298934000
1,391,1298934000
1,393,1298934000
1,497,1298934000
1,519,1298934000
1,532,1298934000
1,559,1298934000
1,561,1298934000
1,562,1298934000
1,563,1298934000
1,564,1298934000
1,565,1298934000
1,566,1298934000
1,567,1298934000
1,568,1298934000
1,569,1298934000
1,570,1298934000
1,571,1298934000
1,572,1298934000
1,573,1298934000
1,560,1304684805
2,14,1296514800
2,28,1298934000
2,145,1298934000
2,590,1298934000
2,598,1298934000
2,604,1298934000
2,608,1298934000
2,584,1304596433
2,592,1304596448
2,536,1304596461
2,585,1304596461
2,481,1304596463
2,591,1304596464
2,425,1304596467
2,32,1304596468
2,38,1304596468
2,58,1304596468
2,109,1304596468
2,117,1304596468
2,295,1304596468
2,312,1304596468
2,343,1304596468
2,526,1304596468
2,589,1304596468
2,595,1304596468
2,596,1304596468
2,597,1304596468
2,599,1304596468
2,601,1304596468
2,605,1304596468
2,606,1304596468
2,607,1304596468
2,609,1304596468
2,610,1304596468
2,611,1304596468
2,612,1304596468
2,586,1304596476
2,587,1304596476
2,593,1304596476
2,594,1304596476
2,26,1304596479
2,25,1304596481
2,477,1304596481
2,588,1304596481
2,600,1304596481
2,602,1304596481
2,603,1304596481
2,556,1304684835
2,37,1304684840
3,98,1296514800
3,241,1296514800
3,505,1296514800
3,530,1296514800
3,649,1296514800
3,650,1296514800
3,651,1296514800
3,652,1296514800
3,653,1296514800
3,654,1296514800
3,655,1296514800
3,656,1296514800
3,657,1296514800
3,658,1296514800
4,39,1293836400
4,44,1293836400
4,205,1293836400
4,35,1296514800
4,42,1296514800
4,55,1296514800
4,160,1298934000
5,45,1291158000
5,59,1291158000
5,145,1291158000
5,147,1291158000
5,148,1291158000
5,149,1291158000
5,151,1291158000
5,155,1291158000
5,157,1291158000
5,160,1291158000
5,164,1291158000
5,172,1291158000
5,177,1291158000
5,184,1291158000
5,185,1291158000
5,191,1291158000
5,253,1291158000
5,258,1291158000
5,321,1291158000
5,364,1291158000
5,366,1291158000
