user,item,time
0,119,1293836400
0,120,1293836400
0,121,1293836400
0,122,1293836400
0,123,1293836400
0,124,1293836400
0,125,1293836400
0,126,1293836400
0,127,1293836400
0,128,1293836400
0,129,1293836400
0,130,1293836400
0,131,1293836400
0,132,1293836400
0,133,1293836400
0,134,1293836400
0,135,1293836400
0,136,1293836400
0,137,1293836400
0,138,1293836400
0,139,1293836400
0,140,1293836400
0,141,1293836400
0,142,1293836400
0,143,1293836400
0,144,1293836400
0,145,1293836400
0,146,1293836400
0,147,1293836400
0,148,1293836400
0,149,1293836400
0,150,1293836400
0,151,1293836400
0,152,1293836400
0,153,1293836400
0,154,1293836400
0,155,1293836400
0,156,1293836400
0,157,1293836400
0,158,1293836400
0,159,1293836400
0,160,1293836400
0,161,1293836400
0,162,1293836400
0,163,1293836400
0,164,1293836400
0,165,1293836400
0,166,1293836400
0,167,1293836400
1,179,1291158000
1,209,1293836400
2,55,1298934000
2,58,1298934000
2,84,1298934000
2,89,1298934000
2,91,1298934000
2,98,1298934000
2,100,1298934000
2,103,1298934000
2,106,1298934000
2,110,1298934000
2,115,1298934000
2,146,1298934000
2,258,1298934000
2,319,1298934000
2,366,1298934000
2,367,1298934000
2,368,1298934000
2,369,1298934000
2,370,1298934000
2,371,1298934000
2,372,1298934000
2,373,1298934000
2,374,1298934000
2,375,1298934000
2,376,1298934000
2,377,1298934000
2,378,1298934000
2,379,1298934000
2,380,1298934000
2,381,1298934000
2,382,1298934000
2,383,1298934000
2,384,1298934000
2,385,1298934000
2,386,1298934000
2,387,1298934000
2,388,1298934000
2,389,1298934000
2,390,1298934000
2,391,1298934000
2,392,1298934000
2,393,1298934000
2,394,1298934000
2,395,1298934000
2,396,1298934000
2,397,1298934000
2,398,1298934000
2,399,1298934000
2,400,1298934000
3,45,1298934000
3,59,1298934000
3,95,1298934000
3,168,1298934000
3,169,1298934000
3,172,1298934000
3,179,1298934000
3,181,1298934000
3,194,1298934000
3,195,1298934000
3,204,1298934000
3,209,1298934000
3,231,1298934000
3,274,1298934000
3,279,1298934000
3,282,1298934000
3,284,1298934000
3,289,1298934000
3,295,1298934000
3,309,1298934000
3,311,1298934000
3,333,1298934000
3,335,1298934000
3,338,1298934000
3,341,1298934000
3,347,1298934000
3,414,1298934000
3,420,1298934000
3,421,1298934000
3,432,1298934000
3,434,1298934000
3,539,1298934000
3,562,1298934000
3,575,1298934000
3,602,1298934000
3,604,1298934000
3,605,1298934000
3,606,1298934000
3,607,1298934000
3,608,1298934000
3,609,1298934000
3,610,1298934000
3,611,1298934000
3,612,1298934000
3,613,1298934000
3,614,1298934000
3,615,1298934000
3,616,1298934000
3,603,1304684805
4,14,1296514800
4,28,1298934000
4,169,1298934000
4,633,1298934000
4,641,1298934000
4,647,1298934000
4,651,1298934000
4,627,1304596433
4,635,1304596448
4,579,1304596461
4,628,1304596461
4,523,1304596463
4,634,1304596464
4,466,1304596467
4,32,1304596468
4,38,1304596468
4,58,1304596468
4,110,1304596468
4,118,1304596468
4,321,1304596468
4,338,1304596468
4,370,1304596468
4,569,1304596468
4,632,1304596468
4,638,1304596468
4,639,1304596468
4,640,1304596468
4,642,1304596468
4,644,1304596468
4,648,1304596468
4,649,1304596468
